TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
4599,499,612,551,409,251,4514,4599,1386,801,1977,1895,4450,1136,3443,1697,1281,391,453,122,334
903,92,117,119,90,40,865,903,157,210,436,423,889,255,683,323,239,57,86,23,61
102663,11714,13423,12866,7448,4742,85398,102663,26653,22997,47855,45708,104157,24080,78996,37247,28992,7559,10254,2575,6669
830839,105957,124326,98505,54298,32646,713678,830839,158830,148585,450670,434714,818249,170081,656107,257886,205361,39053,61478,17828,40556
54811,6264,8278,9423,5996,2960,52568,54811,13350,12208,29407,28291,54468,16940,45447,19053,13952,3806,5000,1505,3913
51823,5374,7699,8415,6635,3557,43045,51823,12372,11291,25525,23475,51559,17655,42920,19687,15623,3671,5992,1530,3783
392680,47640,49288,46241,25788,14026,225615,392680,69644,80333,189210,182612,392848,79133,301671,141823,104680,22960,38634,9669,23077
82299,9151,11223,11717,8405,4148,73911,82299,19091,17861,36389,35025,79687,22345,64575,35206,24538,6692,9719,2494,6615
44413,6404,6439,4990,3076,1595,40024,44413,13026,8966,20584,19806,43732,8744,35296,16500,11859,3174,4152,1009,2669
6941,760,1288,1190,775,352,3040,6941,2099,1441,3692,3547,7022,2156,5889,3007,2279,600,1043,254,570
6196,720,817,880,517,363,5662,6196,1544,1675,2722,2646,6331,1772,5059,2481,2013,413,643,164,416
14134,1678,2080,1898,1183,754,13785,14134,3758,3464,7291,7130,14196,3779,10856,4975,3713,833,1217,342,863
2139,193,296,352,320,189,2043,2139,603,493,841,807,2123,708,1761,887,615,163,295,75,198
9017,904,1319,1660,1204,601,8698,9017,3079,1802,3461,3282,9328,3114,7324,4253,2959,1095,1309,346,986
9475,1145,1301,1161,737,422,8120,9475,2681,2336,4604,4434,9858,2291,7591,3901,2604,671,889,242,630
550210,60477,65621,59675,31872,20177,370844,550210,75283,97990,288814,281072,537893,102817,421978,154874,127859,19505,39594,11261,23497
295032,38833,40313,34992,20873,9833,235430,295032,56407,60690,147320,143095,281870,59280,226738,93304,70969,16289,25111,6683,15260
2171603,268000,262251,203132,108068,54810,1666544,2171603,352296,436563,961030,922251,2121220,330448,1599325,725284,554966,95615,204266,49429,93262
1485941,177484,199269,182752,153797,113753,1112092,1485941,258521,295287,731004,704955,1426772,414928,1202485,494930,352328,102154,163990,43465,104031
163129,19958,23063,19725,11557,6661,147253,163129,39833,35451,85397,82631,161226,34912,125428,55000,43398,8680,13020,3784,8720
3532,363,535,549,245,256,3440,3532,915,880,2026,1977,3569,1046,2741,1287,1044,216,317,90,221
1249,138,185,190,82,58,1180,1249,300,306,731,713,1281,338,959,395,319,59,98,29,73
65263,7923,9994,9951,6043,3752,63724,65263,23407,12266,32148,30533,66737,18721,52753,25573,19571,5030,6934,1789,4646
11931,1443,1668,1529,996,501,9385,11931,3290,2474,4355,4100,12047,2963,9247,5180,3911,1063,1423,357,921
356495,40171,45853,50609,45236,24161,297834,356495,81305,83228,155273,149818,326215,107419,288227,133006,99150,29587,40608,10946,28883
23081,3423,2928,2875,1569,657,21971,23081,2272,4087,15340,14876,22923,4298,18842,4576,3655,928,1360,447,981
292735,30764,32218,30554,16702,8783,221224,292735,37856,56717,150474,144991,286185,51447,234329,83104,69361,16546,21235,6330,14157
17787,2183,2852,2903,1803,864,17191,17787,5237,3760,7943,7602,17510,5135,14602,7388,5242,1816,2157,504,1513
194160,22456,22936,19437,11206,6282,88457,194160,34761,43169,79354,75325,198647,34483,146048,69475,54622,11067,20949,4922,10041
32412,3382,4550,5242,3455,1762,22067,32412,9155,5645,16762,16123,32840,9713,25756,12877,10174,2797,4348,1089,2673
55286,6159,8473,9118,5705,2938,53051,55286,12540,11165,29178,28496,55485,16500,45302,16558,13092,3325,4671,1379,3185
18634,2666,2690,2086,1406,619,16463,18634,5019,3701,8756,8437,17919,3658,14275,6590,4782,1234,1722,434,1050
4506,419,648,806,563,299,4220,4506,1146,1493,2266,2127,4605,1391,3700,1882,1280,294,735,190,399
435594,53314,50265,43302,24484,14958,360356,435594,56133,72422,224057,210010,433168,76257,321760,119010,90415,20253,36143,10298,20306
21485,2462,2292,1897,962,578,18342,21485,2916,3637,11039,10742,22016,3264,14612,7114,5596,1058,1997,472,1081
35567,4720,4898,4297,2818,1428,32502,35567,10615,7566,15892,15254,36035,7957,28077,14147,10417,3105,3908,939,2499
104712,11797,13514,14079,8744,5683,81657,104712,25214,24414,49961,47166,107587,27263,81562,38323,27650,7365,10017,2780,6677
274255,32292,35086,35297,19001,9305,238965,274255,28222,54710,142618,135634,273263,57232,221403,62929,46273,13091,20316,6334,12721
1380645,186896,171700,127447,70941,37399,940371,1380645,216036,265083,750160,726303,1290216,206342,1074728,435453,346062,72406,117345,31062,66065
85129,10828,12645,10812,6334,3215,81763,85129,19603,19119,46319,44991,84586,18308,67171,27512,22099,4336,6169,1886,4466
56310,6975,7617,8267,4118,1775,49772,56310,7980,12102,32091,31120,54469,12490,45626,14847,10038,2553,3561,1225,2593
179146,23603,26913,23212,14216,7117,171408,179146,38916,36879,96495,92384,176362,40244,139159,54548,41887,10680,14667,3772,9713
9911,1143,1457,1500,1107,516,6495,9911,2422,2451,3593,3397,10221,2872,8071,4017,2986,849,1302,322,809
21940,2321,3181,3120,1991,1054,13728,21940,6221,3839,9999,9463,22271,5833,17147,8901,6413,1871,2779,683,1671
3641,381,483,539,309,250,3520,3641,1153,612,1910,1850,3669,1037,2774,1342,932,285,355,95,260
919719,103167,129113,117349,68390,44272,730860,919719,178600,193051,443446,423872,923995,216391,733627,302227,225957,56970,83461,22451,53850
67420,9161,9131,8006,5458,2712,62868,67420,14760,15637,33156,32022,65870,14752,51987,22389,14868,4376,6031,1564,3852
192876,22422,23407,20594,9712,6084,165092,192876,33305,40496,110908,108017,183660,32585,143825,54357,44442,7047,12592,3587,8689
110356,13907,14783,11821,6720,3409,88803,110356,21481,26300,49149,47158,107699,19472,83201,43454,35277,7912,11144,2496,6655
103066,12158,14971,13498,7925,5005,96847,103066,26061,23083,57658,56139,102082,24000,81036,30823,26499,5424,7847,2399,5633
78374,8907,10818,12090,8623,3761,69948,78374,16512,16300,34900,33741,75926,22702,62759,31148,20836,6132,8681,2306,5793
31192,3743,4328,4375,2413,1451,13965,31192,7757,5838,11202,10506,31583,7493,24933,14068,10272,2838,4882,1161,2662
18128,2112,2044,1490,788,480,17081,18128,3898,2914,9382,9157,17577,2585,12559,5867,4534,806,1498,356,805
10949,1281,1394,1368,950,507,8016,10949,2651,2327,5319,5165,11039,2703,8376,4521,3325,920,1231,320,876
114277,13727,15325,14641,8979,4499,86026,114277,25653,26643,45972,43833,115527,27115,89582,48041,36639,9158,13182,3204,8146
17158,1951,2159,1982,1273,841,15685,17158,4021,3234,8122,7846,17131,3829,12835,6011,5057,1030,1529,430,1046
42855,4488,5472,5682,3242,2272,38948,42855,7395,11259,24821,24095,42577,10445,32341,12304,9864,2036,3369,1029,2373
28759,3266,3835,3343,2185,996,19226,28759,6043,5857,12259,11659,28333,5924,22222,11512,9333,2109,3062,765,1884
289615,37644,35869,25729,11602,4308,56781,289615,56696,55639,136502,129814,274150,36959,209056,101186,84877,15181,32077,7077,12677
17821,2221,2551,2436,1587,845,17254,17821,4523,3291,6270,5906,17731,4680,13782,7134,5292,2010,2318,548,1603
151260,15937,14920,13782,7282,4028,125562,151260,13985,22501,85186,83551,144425,21650,121077,37379,34386,5487,8941,2667,5763
270771,31179,33290,31637,17179,11103,216326,270771,53751,50092,136728,131857,268613,57385,206766,92042,72368,18610,25783,6329,14844
