TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
154141,17936,21399,20898,13024,7647,122665,154141,31103,35501,73328,70176,154948,39067,120570,55594,43285,11623,14885,4263,10550
15596,1828,2226,2045,1355,786,15246,15596,4268,3786,7775,7373,15924,4021,12056,5795,3954,1149,1394,396,1004
5505,531,713,905,544,427,4814,5505,1487,1226,2803,2684,5524,1761,4264,1989,1535,344,563,167,443
32594,2553,1989,1748,1238,720,22523,32594,4853,8590,11492,10941,35796,3964,22565,10137,8552,1163,2002,502,1043
29989,3426,4021,4099,2643,1220,26247,29989,5906,6086,14015,13506,29292,7305,22860,10132,8138,1827,3028,771,1904
351713,43964,34307,27740,15136,8084,324360,351713,41251,73248,170592,165587,334977,45623,238743,80229,66848,9685,19682,5239,10048
25549,2644,3331,3100,2058,1133,23393,25549,6530,4469,12494,11959,25406,5890,19884,10406,7834,2496,2943,715,2010
58402,7813,8516,8248,4824,2314,57112,58402,16434,10511,19933,18751,61586,14290,46381,27382,20547,7044,7964,1841,5520
2690,274,333,431,268,92,2582,2690,404,765,1435,1349,2700,712,2033,763,555,135,230,65,150
52460,6405,6755,5223,2594,1173,46163,52460,9833,12408,27148,26260,52377,8008,38162,15710,11868,2886,3692,1036,2456
10124,1078,1375,1460,894,612,9726,10124,2566,2629,5783,5660,10326,2904,7775,3941,3258,633,979,270,686
162124,18251,16659,12722,6629,3714,146504,162124,28230,28452,85132,82843,155744,21622,113268,54750,46553,6677,13132,3165,6840
47240,5944,6576,6344,4045,2304,44735,47240,11146,12289,18099,17028,48486,12601,37192,20237,15360,4495,5674,1324,3861
88571,10399,11641,10254,5979,3694,78363,88571,22369,18450,44570,43251,89425,18624,68638,33720,23474,6356,8492,2101,5361
10715,1379,1750,1746,1137,559,7167,10715,3178,2424,4376,4193,10955,3145,8938,5115,3665,1075,1662,385,997
50031,5885,7227,8392,4201,1346,42478,50031,12601,10134,17894,16994,46974,12746,39943,20999,15658,4017,6030,1468,3825
19572,2162,2367,2462,1434,837,11417,19572,5559,3077,6956,6467,20211,4548,14882,8662,6459,1870,2652,651,1585
18504,2285,2467,2163,1458,789,16651,18504,5771,2916,7674,7397,18517,4252,14432,6917,5094,1438,1765,461,1219
32835,3699,4604,5736,3872,1812,28816,32835,6295,8333,14985,14010,32809,10333,27057,10019,6413,2123,4118,1166,2439
259201,33836,37956,30003,16689,8882,222609,259201,35951,53768,141974,138416,250979,49212,195523,69284,55529,8362,16716,4704,10308
4686,545,599,665,412,280,4477,4686,1108,1198,2599,2530,4903,1322,3605,1654,1298,283,439,121,300
24943,3311,3582,3179,1901,876,23746,24943,6679,4930,10205,9752,24968,5493,19255,10112,7067,2322,2639,682,1836
655,43,91,141,92,87,629,655,126,118,283,268,546,259,575,274,178,51,97,28,66
15000,1793,2168,2328,1716,895,14441,15000,3744,3580,6025,5755,15155,4846,12260,5682,4021,1307,1678,461,1251
57835,8705,7934,5633,3098,1541,52479,57835,12750,9498,28329,27349,54688,8714,43524,19370,15973,3149,4132,1047,2643
967612,130110,141168,111187,67123,48473,709793,967612,130268,133464,484256,465428,975321,214443,755700,275519,189681,45204,78841,21928,46990
93152,10793,12879,11414,6038,3461,87566,93152,18926,17250,50530,48865,91804,19251,73757,33799,26700,6884,8720,2077,5599
2761581,394089,389885,290745,189981,124757,2177101,2761581,533542,479454,1383302,1330023,2702602,563748,2203331,841621,652186,148237,312317,81776,169691
36552,3863,4799,4574,2633,1466,30548,36552,7643,7223,16912,15876,36744,8504,27228,14206,11027,2369,4317,1043,2492
1769,190,223,306,139,141,1709,1769,321,510,898,880,1892,514,1375,630,478,101,163,47,122
21332,2172,3159,3572,2360,1184,20069,21332,4685,5299,9851,9361,20743,6829,16819,7002,5180,1136,1974,574,1422
10362,901,1635,2243,1814,831,10066,10362,3333,2865,3830,3578,10413,4705,9040,4564,3146,1193,1445,408,1166
166614,21954,24828,20952,13929,6882,143077,166614,38062,36809,80112,77186,164118,37797,130055,65017,48380,12887,17220,4502,11680
24440,2581,3273,3148,2198,938,20587,24440,5327,6767,11214,10778,24022,5694,18866,8598,5924,1661,2253,609,1536
105424,9249,12004,15842,17595,11303,90075,105424,29677,23220,36472,34716,100177,41387,87454,44391,26324,11603,15100,4277,11879
5420,528,755,738,511,448,5248,5420,1461,1273,2927,2847,5572,1719,4209,1906,1511,377,553,150,390
17171,1933,2200,2010,1259,763,9082,17171,4197,2604,7036,6687,17305,3982,12908,7032,5576,1424,2185,529,1251
22698,2860,3416,3464,2124,1122,14626,22698,5544,5123,9820,9391,22833,6116,18426,9066,6431,1889,2959,742,1778
980,110,143,160,112,53,936,980,173,177,410,392,702,156,763,313,235,50,90,24,61
40085,5133,6080,5414,3130,1547,36960,40085,11861,9440,18093,17255,40886,9523,32510,15374,12354,2925,3780,988,2548
37480,4378,5052,4684,3562,1902,35930,37480,8779,9652,15856,15295,37212,9809,28887,13982,9359,3048,3742,1021,2904
29094,3743,4214,4558,2689,1778,27601,29094,9043,6532,12846,12088,29921,8634,23587,13406,9270,3090,3613,862,2529
13632,1431,1517,1160,476,289,11442,13632,2191,2800,8962,8812,11679,1663,9340,4054,3372,538,830,231,556
76397,8640,10482,10853,9026,4769,61347,76397,9991,14330,36069,35023,73028,22611,61115,24354,17173,4069,6942,1917,4663
7671,721,879,514,242,138,921,7671,1982,956,2924,2508,7715,851,4965,2504,1961,526,739,186,432
10231,1036,1329,1275,1015,659,6806,10231,2572,2435,3219,3026,10621,2798,8033,4313,3012,910,1245,329,919
4212,462,716,784,507,292,3877,4212,1177,1305,1751,1644,4360,1604,3701,1774,1240,390,480,136,359
71671,6292,6321,5814,3855,2283,51505,71671,13172,14966,24853,23549,72438,11300,52408,27396,21435,5143,7028,1599,4143
7182,753,969,1071,734,434,4020,7182,2284,1401,2811,2687,7585,2206,5647,3112,2281,607,1011,244,614
21229,2637,3163,2820,1902,967,19095,21229,4052,6121,9243,8900,20473,5172,16537,8188,6019,1374,2238,566,1440
14971,1723,1855,2068,1091,533,14076,14971,3725,3670,7786,7491,15689,3421,11552,4919,3766,886,1238,351,825
14653,1540,1713,1895,1177,794,13488,14653,2948,3802,7120,6822,14757,3661,10889,5555,4628,1033,1530,389,976
2869,263,439,489,321,237,2731,2869,681,840,1425,1377,2971,1067,2315,1154,887,182,297,84,222
892697,109541,127517,105187,64171,42188,671681,892697,167539,154744,480319,459939,897417,201242,705393,263554,203153,41736,72956,20145,42859
71375,8662,10698,10539,6800,2866,64033,71375,13295,15675,30644,29698,63457,16604,56952,25369,17256,5730,6964,1941,5184
16806,1929,2216,2229,1723,899,13517,16806,3978,3332,6705,6453,16226,4545,12926,7041,5235,1423,2016,519,1426
91083,10806,13155,12778,8204,5343,86668,91083,33689,14200,43057,40799,93038,24903,73283,34681,26382,7118,9333,2547,6516
11372,1282,1374,1490,794,407,10579,11372,2303,2256,5732,5484,11153,2515,8238,3923,2974,782,1127,300,731
25083,3201,3652,3425,2514,850,24127,25083,4851,4597,12040,11639,23397,6208,19897,7556,5511,1592,2190,587,1471
164044,25179,22527,14603,8035,3066,123224,164044,33200,32891,83868,80981,152399,21365,121200,51513,39996,8429,12599,3196,6899
50251,6103,8438,6607,4594,1954,45092,50251,10300,9651,27379,26462,49071,12065,39431,15345,11238,2855,4113,1118,2656
2231647,301058,280975,236827,152420,65641,1560118,2231647,415643,483389,1098114,1045471,2112436,405618,1714018,754963,539916,127559,203181,53399,120639
112664,13988,16609,11350,6519,3317,88161,112664,22068,20893,55295,53193,110979,18983,85428,40757,30925,5925,9244,2249,5301
13994,1630,1965,1956,1252,718,13273,13994,3659,3000,6023,5821,13660,3649,10845,5346,4023,1002,1470,383,1017
448273,56286,64270,55773,33881,19219,398210,448273,123950,77020,234141,225117,442216,99386,349253,137789,104077,27440,39033,10353,25143
136349,18864,18758,13074,7639,3843,129175,136349,24875,31554,74674,72455,131130,22152,98346,38764,32848,4695,7922,2317,5256
10023,1034,1424,1343,1015,522,5329,10023,2464,1787,4047,3834,10309,2723,7759,4288,3181,859,1403,341,814
7824,1024,992,993,422,192,7280,7824,1482,1333,4894,4765,7481,1439,6263,2221,1741,402,602,188,400
39921,5276,5668,4241,2859,1136,38199,39921,9922,5826,15943,15096,39444,7520,30030,13392,9820,3216,4103,1018,2566
79388,10356,11905,10841,6991,4326,75621,79388,29119,13903,35744,33960,80539,21111,64935,33866,24091,6324,8411,2217,5756
55626,6544,7658,7747,4862,3156,53090,55626,14567,13660,28466,27164,56823,14999,43426,20084,14939,3879,5164,1438,3532
277097,32888,37562,34761,19723,11573,199283,277097,63859,48706,142393,136730,273329,61034,214742,88350,69147,15560,24525,6550,14948
76493,8139,11223,11083,6627,3441,73072,76493,16625,15407,41020,39990,76109,19389,62808,25593,19785,5094,6566,1781,4407
874759,111573,128552,107886,63458,37342,706920,874759,180999,215523,445483,427445,864019,192977,690750,309434,233473,57499,80943,20848,52383
29189,4263,4986,4123,2530,944,25654,29189,6399,6565,13821,13447,28364,6652,23866,10236,7542,1746,2516,672,1663
8903,1098,1180,1226,806,369,2208,8903,2849,1580,2740,2581,9402,2374,7223,4119,3026,776,1530,351,737
792582,92580,92538,82026,46016,25565,560031,792582,128921,153023,383860,371240,774203,140665,589200,266544,212112,43888,71630,17973,45307
13257,1706,1958,1815,1100,550,13060,13257,3825,2136,4727,4331,13565,3211,10404,6252,4422,1679,1831,434,1324
22061,2241,2456,2365,1648,933,16013,22061,4021,4090,9580,9214,22495,5000,17877,7859,5864,1377,2101,546,1352
323780,39217,37733,33022,18484,9820,250675,323780,41328,57520,174849,169048,315109,55235,256141,108765,80941,20300,30179,7062,17708
16320,1833,2320,2105,1350,849,15637,16320,5206,2881,7960,7657,16405,4245,12515,5824,4443,1326,1594,422,1122
153207,16902,19048,20446,12498,7111,144010,153207,28023,36303,76060,72949,148798,35763,120162,42033,33285,8380,10939,3765,8383
3977,452,502,525,328,269,3893,3977,679,1148,2268,2219,3803,1112,2959,1388,1104,215,322,96,232
22752,2475,3374,3644,2576,1533,21297,22752,5673,4481,10514,10199,22440,7345,18767,8784,6343,1886,2562,700,1853
3093,338,428,488,282,263,2983,3093,609,883,1660,1615,3119,974,2447,1144,854,221,330,89,232
19759,2098,1933,1731,952,478,17563,19759,2888,2553,9479,8968,19261,2912,12755,5287,4643,981,1633,458,1001
4989,421,731,759,505,458,4868,4989,1586,1158,2517,2421,5039,1693,3937,1868,1437,295,478,144,365
621354,79773,101272,80788,45891,28074,525612,621354,104602,105350,323106,311236,627551,142622,489631,180828,144931,29527,48296,13401,30634
41239,4729,5447,4666,2608,1430,25478,41239,10630,8066,17510,16515,43534,8720,30494,17794,13112,3341,5006,1179,2959
314305,40035,36981,31150,16402,7865,291084,314305,51960,63828,165290,160320,285729,48279,231808,83464,66761,12435,20680,5933,12026
30785,3269,4369,4389,2484,1528,30061,30785,7696,5952,15559,15111,30378,7781,22766,10163,7877,1923,2579,792,1977
77036,8421,9773,10477,6247,3520,71774,77036,13962,15152,45580,43517,75138,18408,59014,24237,20596,4120,6629,1904,4427
230163,30179,35111,29422,18544,9404,213846,230163,39539,45544,118982,114795,226632,52232,183995,72631,55750,12682,17334,4896,12210
5527,559,853,787,475,408,5349,5527,1477,1471,3159,3081,5603,1687,4429,2241,1758,334,489,142,356
86934,9069,11820,11511,7759,3858,30133,86934,19088,19973,34534,32547,89116,22393,67890,36586,28514,6282,11961,2955,5829
28823,3421,4051,4001,2883,1459,27759,28823,10165,4009,11987,11324,29152,7914,23398,13121,8681,3298,3683,864,2633
24015,2650,2718,2359,1403,663,22718,24015,4620,4252,11963,11659,23039,4145,16621,7079,5668,1299,2032,541,1248
1243857,142004,169617,159927,92019,61767,791110,1243857,245164,257850,612216,580166,1257401,297844,985975,445409,344105,86130,130681,34175,79547
13746,1568,1983,1897,1285,654,10482,13746,4050,3215,5283,4932,14187,3871,10964,6051,4386,1172,1730,434,1120
41260,4761,5763,5426,3385,1738,36419,41260,9400,9172,17841,17095,40506,9637,31443,15425,11194,2883,4189,1082,2776
38458,4513,5178,4669,3060,1672,32740,38458,11081,7390,20017,19333,38858,9126,29205,15184,11419,3157,3812,1019,2641
55655,6741,7501,7258,5203,2526,35162,55655,13660,13310,22338,21223,56589,14110,44010,22361,16680,4941,7244,1861,4513
225909,27867,29327,25217,14979,9176,199632,225909,40304,51481,119524,116211,220008,45693,173399,71501,60863,10173,16070,4608,10568
763,64,125,133,66,56,728,763,146,181,399,390,674,232,608,270,207,43,69,20,52
811,77,114,155,131,43,764,811,186,176,459,447,820,329,685,240,160,49,71,24,56
49090,5916,6810,6658,4352,2523,46934,49090,11722,11670,25083,23824,49649,12932,38113,17991,12654,3349,4195,1221,3033
26321,3217,3629,3406,2091,975,25535,26321,7418,4987,10995,10455,26129,6066,20167,11641,8793,2911,3196,768,2274
28558,3193,3459,3100,1803,1285,26164,28558,5709,5758,16473,15990,28123,6047,21134,8302,6171,1469,2060,668,1461
14520,1676,2237,2291,1525,724,8300,14520,3978,3131,6665,6382,14808,4258,11786,5948,4432,1084,1931,477,1064
2303,230,276,386,246,191,2164,2303,508,666,1253,1221,2357,770,1834,693,468,156,215,72,170
76796,9487,10258,9141,5471,3022,64290,76796,16159,14918,38229,37273,76749,16261,59690,26221,21548,4611,6402,1668,4040
1903,187,263,259,210,167,1842,1903,516,487,896,873,1932,723,1465,683,520,119,185,53,145
109864,12677,16507,15265,9463,5254,102780,109864,20535,24679,55149,52977,109491,27978,87720,34020,25965,6751,8931,2580,6203
25735,3234,3225,2740,1403,815,6358,25735,5191,4942,7837,7226,26915,4684,20041,12094,9099,2050,3771,839,1785
10627,1189,1339,1426,887,522,2915,10627,2903,1738,2734,2472,10919,2751,8102,4769,3670,991,1770,405,911
28999,3352,4559,4735,2661,1239,28061,28999,7489,5739,15980,15554,28901,7904,23683,8919,6821,1813,2459,721,1663
26111,2534,3475,3541,1958,1509,24814,26111,5856,6822,13413,12970,27067,6712,19904,9773,7285,1757,2708,681,1696
1955,173,283,329,241,180,1895,1955,629,522,1083,1051,2049,704,1584,723,570,135,202,59,153
44887,5603,6044,5552,3638,1778,27577,44887,10681,9590,16519,15617,45447,10922,34622,19038,13780,3803,5648,1413,3404
11573,1338,1994,1604,1094,537,7580,11573,3032,2964,5309,5097,11601,2897,9226,4636,3404,843,1356,337,797
40011,4456,5054,4593,2828,2385,35366,40011,8400,8952,20450,19903,39386,9579,29918,13012,10023,1939,3173,947,2254
43724,4371,5623,7725,5043,2308,37631,43724,8118,13330,17410,16244,43530,14018,34922,14232,9918,3241,4500,1387,3211
16867,1949,2334,2810,2275,984,16007,16867,4269,3194,7092,6808,16354,5564,14009,6805,4637,1603,2194,579,1517
3758,384,598,727,373,210,3522,3758,1123,960,2405,2314,3841,1232,3043,1339,1041,220,365,105,266
17603,1986,2326,2117,1352,834,15699,17603,4751,3507,7424,7194,17620,4083,13841,6339,4775,1246,1560,419,1075
2920,325,357,403,195,138,2815,2920,693,817,1704,1672,2925,737,2129,847,694,145,212,62,151
309176,39725,52130,43004,24065,12271,293326,309176,55297,63927,185379,180279,302479,69798,249181,97555,71266,17362,23425,6409,15962
20388,2445,3005,2854,1789,803,19460,20388,6237,3717,7990,7561,19991,5162,15734,8780,6262,2068,2433,572,1696
37147,4513,5131,4636,2960,2032,35409,37147,11010,8682,19266,18760,36789,9289,28801,13023,10772,2070,3133,867,2147
2632,233,354,404,297,258,2557,2632,783,598,1472,1435,2704,885,2063,1050,765,197,284,83,218
179349,23250,25865,21216,13087,5807,156117,179349,32223,42977,80654,77976,166778,34353,139997,66726,43399,12054,15533,4017,10776
33044,4020,4452,4199,2849,1297,31277,33044,8192,5728,13026,12295,32478,7787,25547,13915,9887,3221,3835,940,2633
2962,302,366,358,236,150,2610,2962,613,542,1185,1147,3026,771,2183,1084,808,206,321,82,208
1392,135,202,248,131,93,1326,1392,316,320,817,796,1390,375,1100,463,352,67,121,36,93
3216,359,453,444,283,260,3110,3216,661,928,1605,1563,3318,956,2536,1163,938,177,289,82,213
7644,812,967,991,665,478,7055,7644,2119,1495,4005,3920,7730,2064,5712,2736,2005,517,718,190,525
47532,5926,6523,5940,3205,1688,45971,47532,12780,9185,23666,22972,47421,9969,35928,15830,12862,3503,4400,1073,2728
9483,1109,1057,944,500,339,8550,9483,2155,2433,4280,4098,9368,1631,6893,2918,2254,443,751,213,444
36501,4564,5650,6332,3453,1449,34318,36501,6180,9892,19851,18836,35412,9885,29602,12743,9502,2372,3330,929,2380
4968,479,649,708,490,403,4832,4968,1351,1140,2524,2454,4986,1529,3801,1799,1418,311,457,134,344
2508,226,347,427,317,212,2349,2508,764,595,1165,1126,2581,935,1965,1045,774,218,321,83,227
45063,4955,5882,5869,2984,1504,11664,45063,9254,8835,16727,15547,48002,9825,33452,18852,14552,3643,6548,1520,3232
26215,3223,3745,3376,2185,1101,18027,26215,6454,5437,11376,10875,26241,6294,20392,9557,6505,2201,3181,799,1898
31166,3215,4628,5175,3379,2006,30389,31166,9773,7248,15826,15097,31750,10169,25161,12279,9159,2797,3303,939,2621
76456,8802,10373,9623,6094,2805,67861,76456,16718,16932,30234,28584,75845,17086,58545,28249,21018,4305,8305,2207,4573
12456,1552,1735,1675,1244,613,11335,12456,2910,3154,4100,3780,12899,3202,10153,4872,3645,1004,1220,345,880
653786,76453,81739,69502,36371,22118,537844,653786,103202,129390,358900,348246,636376,115828,495977,198319,156233,35772,49037,13860,32341
1101,110,184,218,114,51,770,1101,225,237,547,522,1203,429,908,397,268,90,130,37,89
8810,978,1195,1180,752,498,7556,8810,2112,2089,4475,4111,8824,2327,6625,3136,2246,532,849,244,606
3424,342,461,580,282,235,3168,3424,750,1009,1769,1727,3568,1075,2726,1103,870,197,299,90,222
597555,79185,77032,65180,36152,20893,518978,597555,56713,102989,336677,326954,578797,110038,451912,155375,122920,21432,37119,10687,24502
12037,1304,1635,1641,1089,673,11667,12037,3845,2302,5133,4892,12248,3264,9203,4439,3101,972,1169,315,841
14309,1396,1383,958,462,168,762,14309,1827,2811,3581,3211,14291,1355,8985,4867,3684,1034,1607,434,979
5816,629,818,809,516,335,5637,5816,1418,1494,3155,3032,5951,1606,4424,2276,1650,318,492,139,377
16558,2258,2405,2105,1422,795,15204,16558,5417,2939,6109,5811,16713,4139,13747,7147,5183,1663,1985,491,1370
21764,2014,3054,4433,2885,1614,20214,21764,3623,5079,10533,10088,21564,8279,18269,8032,5718,1586,2122,630,1686
39985,5172,5335,4605,2807,1294,34340,39985,8534,8310,19424,18887,37919,7891,29720,13009,9808,2329,3276,857,2263
50885,5349,6100,6058,3538,2362,47219,50885,9916,11506,24195,23024,52540,11175,41683,18525,13505,3629,4444,1283,3108
50574,5574,7471,7141,4518,2547,20239,50574,13753,9182,20243,19014,52300,13866,39744,22738,16692,4630,7678,1900,4329
73657,9745,9377,7416,4464,2084,66146,73657,16675,15846,33853,32766,71568,12771,54648,25439,18854,4377,5913,1518,3985
22628,2559,2868,2544,1844,1061,18375,22628,4973,4377,10461,10123,21620,5038,17282,7765,5824,1548,2169,588,1431
187888,23283,28813,25708,14630,9191,180191,187888,43787,34339,98563,94719,185984,44846,150374,65463,50225,10440,14996,4212,10245
33370,4113,4600,4125,2631,1337,32395,33370,9461,6945,16509,15860,33448,7509,25626,11567,8738,2471,3133,769,1970
414576,48368,48525,41347,23055,10947,190259,414576,57095,78748,196988,190216,404869,68651,325946,138891,118318,18970,35795,9167,18763
676061,88692,78978,59441,33718,20190,437643,676061,122015,83820,357639,343787,679756,109974,537840,160832,129082,25934,59570,14524,29169
329261,43100,44244,37422,21440,12721,188931,329261,48836,60184,180933,175546,324073,65204,254989,104968,82361,15414,28279,7239,15651
38310,4154,5259,5112,3059,1563,10630,38310,9368,8076,14860,13887,40755,9436,29189,17157,12318,3327,6160,1392,3103
54012,6859,8129,7309,5142,2281,51549,54012,14575,10925,24009,23092,52887,13602,43394,23374,17054,4957,6128,1500,4118
8326,974,1178,1138,756,440,5528,8326,2605,1644,3613,3485,8528,2133,6444,3672,2713,705,1104,266,694
25095,2950,3381,3170,1892,1285,24055,25095,5664,6391,14786,14507,25027,6126,18823,8033,6889,1279,1914,553,1360
1748,183,217,253,203,113,1676,1748,418,528,882,860,1741,582,1333,597,447,107,166,44,112
2040,188,306,309,202,171,1990,2040,622,407,1193,1159,2053,630,1625,776,526,179,219,61,166
9097,979,1375,1643,1017,515,7705,9097,3117,1930,3243,2989,9254,3126,7737,3778,2909,852,1034,285,787
56019,6753,7750,7406,5134,2690,52518,56019,12502,12472,25908,25004,53607,14526,43097,21537,16248,4127,5855,1533,4100
1050114,147080,133488,97019,52679,26992,478685,1050114,125382,153965,555127,532817,1010420,159840,820707,271695,217487,43493,83072,22450,41504
26617,3309,4142,3792,2421,1227,25040,26617,8085,6318,13567,13151,26427,7133,21235,9596,7878,1776,2458,731,1844
20845,2533,3348,3046,1821,791,20279,20845,6364,4469,9350,8943,20957,5415,16452,8272,5857,1960,2421,575,1542
2607,291,323,269,164,76,2424,2607,555,385,1637,1605,2621,455,1858,920,739,156,241,59,142
103718,11891,14829,13494,7921,4246,99348,103718,21394,20787,58515,56807,102917,22640,82312,31092,26504,5244,7663,2374,5557
39764,4373,5147,6614,3947,1689,36792,39764,7019,11691,19344,18549,38021,10800,32170,13448,10327,2741,3814,1068,2654
266784,30555,39667,34384,21103,12129,222998,266784,56020,54206,137463,132032,270772,63495,215051,83626,65591,14489,22006,5951,14446
167207,21241,23025,22483,13072,6746,58362,167207,37322,39405,86137,84028,164094,37939,130860,44759,29836,7107,13553,3947,8376
14604,1713,2141,2114,1292,814,13521,14604,4761,3085,6676,6273,14773,4162,11544,6606,4525,1516,1789,455,1308
68700,7800,9505,10047,5359,2752,64500,68700,11498,15025,35455,34277,66290,16327,53930,19433,14291,3369,5299,1531,3590
943823,125353,143173,106677,62683,41750,742641,943823,139001,133981,480767,461750,947328,197334,731785,231953,169774,39898,62779,19329,40301
18432,1981,2237,2389,1569,1009,16616,18432,3588,4714,8635,8205,18325,4816,14022,6010,4249,1139,1804,559,1200
38463,4517,5292,4920,2731,1992,37342,38463,8325,8029,19161,18379,38942,8978,29215,12120,9144,2119,2712,812,1980
181111,21457,30679,27872,16831,9282,169456,181111,39969,37527,105014,101000,184454,50170,148178,49137,35266,9762,13700,4233,10150
187365,22953,27043,21015,11676,6614,170709,187365,40217,40406,103628,100730,183288,35410,143236,53418,45836,8331,12475,3733,8447
70116,9034,10831,9090,5349,2443,68224,70116,19156,14730,36392,35160,69533,15510,54270,27659,20731,5471,7052,1641,4212
79604,9109,10654,11486,7515,3645,73261,79604,16047,22571,33752,31630,76012,20549,62586,26645,19589,5307,7818,2185,5393
36803,4256,5053,4343,2614,1871,34412,36803,8378,7898,20563,19958,36612,8393,27640,11351,9674,1602,2725,808,1885
4555,457,596,733,521,332,4345,4555,1004,1552,2208,2126,4741,1646,3594,1379,1035,317,437,132,332
65456,7228,8737,8619,5487,3318,62408,65456,19016,10581,33495,31900,66615,16359,53874,23755,18533,4448,6014,1649,4107
121436,12546,11855,11424,6150,3510,101288,121436,12342,18581,65199,63204,117806,18450,99347,34659,30003,5244,7805,2258,4984
3221,389,463,525,255,96,2426,3221,680,647,1404,1282,3275,778,2551,978,704,190,278,77,188
16898,2290,2580,2351,1639,788,16308,16898,4772,3680,7281,6976,16722,4308,13592,7621,5233,1768,2055,511,1448
68461,7794,8431,8185,5092,2785,46688,68461,13690,14461,25613,24391,68328,14853,51285,27496,21181,5029,7585,1857,4638
33830,3736,3855,3160,1972,1196,30523,33830,7081,5382,12540,11936,34527,6124,24670,12481,9597,1792,3492,838,1918
54401,6253,7223,6690,4018,2710,49052,54401,11501,12420,30094,29170,55334,12413,41812,19408,16265,3097,4882,1264,3023
13275,1604,1991,1799,1214,685,11046,13275,3366,2700,5963,5730,13407,3480,10587,5575,3801,1287,1732,418,1117
6191,640,828,825,552,406,6039,6191,1691,1559,3227,3163,6214,1749,4736,2307,1658,393,585,164,425
17556,1802,2538,2804,1681,1196,17131,17556,5502,3848,10133,9812,17711,5374,13851,6267,5236,1154,1691,482,1246
28875,3194,3872,3853,2665,1208,27053,28875,6953,6066,13504,13050,28109,7221,22164,11269,8577,2132,3199,806,2112
6272,674,1070,1140,696,291,2675,6272,2108,1148,2835,2692,6423,2045,5256,2888,2055,617,1100,255,566
7027,791,770,690,422,290,6480,7027,1553,932,2655,2539,7098,1519,4821,2359,1798,370,708,172,406
289195,32922,34779,31867,19550,10129,154065,289195,46729,61594,140971,135719,285506,56014,227916,89155,72933,15929,28675,7079,14538
57511,6699,8775,7662,4536,2899,53461,57511,15105,13992,29796,28551,58537,13935,45812,20797,14751,4149,5362,1420,3581
6021,631,779,865,595,413,5828,6021,1427,1716,3303,3172,5923,1742,4657,2043,1658,312,511,155,382
4165,383,483,384,219,99,1252,4165,791,738,1379,1322,4177,665,2627,1565,1229,296,484,128,317
153902,21342,19417,16842,10477,5312,116816,153902,27165,35159,76149,73554,149645,29151,118231,55615,45755,8554,12996,3264,7786
25571,2896,3598,3414,2343,1432,23756,25571,7304,5377,9043,8673,25714,6773,20139,11141,8619,2507,2989,795,2153
6054,711,855,858,542,263,5816,6054,1568,1231,2513,2384,6255,1620,4634,2295,1664,533,628,167,450
60115,8209,9462,7669,4498,2270,38770,60115,12936,12677,29943,28929,58503,13167,47843,22123,16410,4164,6678,1664,3886
32461,4607,4633,3985,2400,889,26996,32461,8253,7732,14767,14307,31586,6317,25516,11336,9288,2313,2987,774,1998
5575,616,768,597,416,192,4959,5575,1428,1280,3151,3034,5887,1155,4093,1823,1314,374,486,133,331
73952,9269,10934,11010,6855,4522,70584,73952,27921,12490,33553,31840,75619,21498,60728,31878,22652,5915,7728,2100,5513
15673,2051,1896,1468,935,490,14334,15673,3858,2465,6486,6253,15804,2754,11852,5876,4622,789,1743,397,895
28666,3660,3937,3621,2290,1102,26982,28666,9238,4450,14079,13497,28659,6536,21973,12215,8701,2444,2949,731,1969
5191,574,654,659,474,248,4787,5191,1109,1293,2474,2396,5599,1286,3890,1950,1416,371,561,145,376
8897,790,984,924,602,480,7927,8897,1725,1662,4632,4532,9132,2000,7088,3101,2382,526,699,197,524
8313,927,1046,1118,788,392,8066,8313,2245,1421,4048,3926,8300,2185,6197,3062,2169,688,809,218,602
6050,639,707,825,549,305,5862,6050,1523,1360,2835,2753,5942,1565,4433,1840,1410,351,538,150,369
752660,93439,90114,71729,41463,22418,500416,752660,129211,147635,326387,306816,724153,123774,548344,238078,182599,34614,66030,17092,34534
48518,6508,6887,5642,3437,1458,42857,48518,9873,9544,24920,24052,45831,9425,37346,18183,13183,3781,4863,1135,3074
8232,799,1243,1270,982,592,6187,8232,2390,1743,2987,2792,8403,2707,6604,3730,2675,788,1228,311,812
33615,4078,4761,4492,2972,1517,19182,33615,9060,7003,15276,14679,33895,8501,26623,14836,10410,2870,4664,1068,2618
2233163,308318,279876,227746,123656,69816,1493773,2233163,234136,404452,1258687,1215220,2118119,386511,1780304,543692,413031,72426,151431,41889,83688
229286,22537,31640,41627,29686,12393,190055,229286,53680,46446,105426,101475,215551,71832,186702,84095,64412,17955,24950,6824,18376
11277,1169,1453,1493,1041,828,10336,11277,2759,2640,5826,5619,11437,3290,8521,3706,2863,575,979,290,712
26575,3263,3491,2985,1944,1068,14461,26575,6428,5505,11551,11012,27023,5831,20070,8970,6442,2063,3258,802,1793
